"location"	"sample_collect_date"	"shot_1"	"shot_2"	"shot_3"	"shot_4"
"Genesee"	2022-02-06	0	1	3	0
"Genesee"	2022-02-07	0	1	0	0
"Genesee"	2022-02-08	0	0	1	0
"Genesee"	2022-02-09	0	0	2	0
"Genesee"	2022-02-10	0	1	0	0
"Genesee"	2022-02-11	0	1	1	0
"Genesee"	2022-02-12	0	0	2	0
"Genesee"	2022-02-13	0	0	0	0
"Genesee"	2022-02-14	0	1	0	0
"Genesee"	2022-02-15	0	1	2	0
"Genesee"	2022-02-16	0	0	0	0
"Genesee"	2022-02-17	4	1	12	1
"Genesee"	2022-02-18	0	0	1	0
"Genesee"	2022-02-19	0	0	0	0
"Genesee"	2022-02-20	0	0	1	0
"Genesee"	2022-02-21	0	0	4	0
"Genesee"	2022-02-22	0	0	1	0
"Genesee"	2022-02-23	0	0	0	0
"Genesee"	2022-02-24	0	0	0	0
"Genesee"	2022-02-25	0	0	0	0
"Genesee"	2022-02-26	0	0	0	0
"Genesee"	2022-02-27	0	0	1	0
"Genesee"	2022-02-28	1	0	0	0
"Genesee"	2022-03-01	0	0	0	0
"Genesee"	2022-03-02	0	0	1	0
"Genesee"	2022-03-03	0	0	1	0
"Genesee"	2022-03-04	0	0	0	0
"Genesee"	2022-03-05	0	0	0	0
"Genesee"	2022-03-06	0	0	0	0
"Genesee"	2022-03-07	1	0	0	0
"Genesee"	2022-03-08	0	0	0	0
"Genesee"	2022-03-09	0	0	0	0
"Genesee"	2022-03-10	0	0	1	0
"Genesee"	2022-03-11	0	0	0	0
"Genesee"	2022-03-12	0	0	0	0
"Genesee"	2022-03-13	0	0	0	0
"Genesee"	2022-03-14	0	0	0	0
"Genesee"	2022-03-15	0	0	0	0
"Genesee"	2022-03-16	1	0	0	0
"Genesee"	2022-03-17	0	0	1	0
"Genesee"	2022-03-18	0	0	0	0
"Genesee"	2022-03-19	0	0	0	0
"Genesee"	2022-03-20	0	0	0	0
"Genesee"	2022-03-21	0	1	0	0
