"location"	"County"	"sample_collect_date"	"DoseNumber"	"Number_of_Vaccines"	"StandardizedVaccines"	"labels"
"Moscow"	"Latah"	2021-06-21	1	8	0.0299188451325779	"1st Dose"
"Moscow"	"Latah"	2021-06-22	1	15	0.0560978346235835	"1st Dose"
"Moscow"	"Latah"	2021-06-23	1	22	0.0822768241145892	"1st Dose"
"Moscow"	"Latah"	2021-06-24	1	13	0.0486181233404391	"1st Dose"
"Moscow"	"Latah"	2021-06-25	1	15	0.0560978346235835	"1st Dose"
"Moscow"	"Latah"	2021-06-26	1	17	0.063577545906728	"1st Dose"
"Moscow"	"Latah"	2021-06-27	1	2	0.00747971128314447	"1st Dose"
"Moscow"	"Latah"	2021-06-28	1	12	0.0448782676988668	"1st Dose"
"Moscow"	"Latah"	2021-06-29	1	11	0.0411384120572946	"1st Dose"
"Moscow"	"Latah"	2021-06-30	1	17	0.063577545906728	"1st Dose"
"Moscow"	"Latah"	2021-07-01	1	11	0.0411384120572946	"1st Dose"
"Moscow"	"Latah"	2021-07-02	1	11	0.0411384120572946	"1st Dose"
"Moscow"	"Latah"	2021-07-03	1	5	0.0186992782078612	"1st Dose"
"Moscow"	"Latah"	2021-07-05	1	10	0.0373985564157224	"1st Dose"
"Moscow"	"Latah"	2021-07-06	1	14	0.0523579789820113	"1st Dose"
"Moscow"	"Latah"	2021-07-07	1	9	0.0336587007741501	"1st Dose"
"Moscow"	"Latah"	2021-07-08	1	23	0.0860166797561614	"1st Dose"
"Moscow"	"Latah"	2021-07-09	1	16	0.0598376902651558	"1st Dose"
"Moscow"	"Latah"	2021-07-10	1	13	0.0486181233404391	"1st Dose"
"Moscow"	"Latah"	2021-07-11	1	4	0.0149594225662889	"1st Dose"
"Moscow"	"Latah"	2021-07-12	1	14	0.0523579789820113	"1st Dose"
"Moscow"	"Latah"	2021-07-13	1	8	0.0299188451325779	"1st Dose"
"Moscow"	"Latah"	2021-07-14	1	10	0.0373985564157224	"1st Dose"
"Moscow"	"Latah"	2021-07-15	1	8	0.0299188451325779	"1st Dose"
"Moscow"	"Latah"	2021-07-16	1	7	0.0261789894910056	"1st Dose"
"Moscow"	"Latah"	2021-07-17	1	7	0.0261789894910056	"1st Dose"
"Moscow"	"Latah"	2021-07-18	1	3	0.0112195669247167	"1st Dose"
"Moscow"	"Latah"	2021-07-19	1	7	0.0261789894910056	"1st Dose"
"Moscow"	"Latah"	2021-07-20	1	7	0.0261789894910056	"1st Dose"
"Moscow"	"Latah"	2021-07-21	1	12	0.0448782676988668	"1st Dose"
"Moscow"	"Latah"	2021-07-22	1	17	0.063577545906728	"1st Dose"
"Moscow"	"Latah"	2021-07-23	1	27	0.10097610232245	"1st Dose"
"Moscow"	"Latah"	2021-07-24	1	18	0.0673174015483002	"1st Dose"
"Moscow"	"Latah"	2021-07-25	1	3	0.0112195669247167	"1st Dose"
"Moscow"	"Latah"	2021-07-26	1	16	0.0598376902651558	"1st Dose"
"Moscow"	"Latah"	2021-07-27	1	20	0.0747971128314447	"1st Dose"
"Moscow"	"Latah"	2021-07-28	1	15	0.0560978346235835	"1st Dose"
"Moscow"	"Latah"	2021-07-29	1	15	0.0560978346235835	"1st Dose"
"Moscow"	"Latah"	2021-07-30	1	18	0.0673174015483002	"1st Dose"
"Moscow"	"Latah"	2021-07-31	1	14	0.0523579789820113	"1st Dose"
"Moscow"	"Latah"	2021-08-01	1	4	0.0149594225662889	"1st Dose"
"Moscow"	"Latah"	2021-08-02	1	30	0.112195669247167	"1st Dose"
"Moscow"	"Latah"	2021-08-03	1	15	0.0560978346235835	"1st Dose"
"Moscow"	"Latah"	2021-08-04	1	29	0.108455813605595	"1st Dose"
"Moscow"	"Latah"	2021-08-05	1	19	0.0710572571898725	"1st Dose"
"Moscow"	"Latah"	2021-08-06	1	26	0.0972362466808781	"1st Dose"
"Moscow"	"Latah"	2021-08-07	1	18	0.0673174015483002	"1st Dose"
"Moscow"	"Latah"	2021-08-08	1	3	0.0112195669247167	"1st Dose"
"Moscow"	"Latah"	2021-08-09	1	25	0.0934963910393059	"1st Dose"
"Moscow"	"Latah"	2021-08-10	1	28	0.104715957964023	"1st Dose"
"Moscow"	"Latah"	2021-08-11	1	16	0.0598376902651558	"1st Dose"
"Moscow"	"Latah"	2021-08-12	1	19	0.0710572571898725	"1st Dose"
"Moscow"	"Latah"	2021-08-13	1	45	0.168293503870751	"1st Dose"
"Moscow"	"Latah"	2021-08-14	1	27	0.10097610232245	"1st Dose"
"Moscow"	"Latah"	2021-08-15	1	6	0.0224391338494334	"1st Dose"
"Moscow"	"Latah"	2021-08-16	1	27	0.10097610232245	"1st Dose"
"Moscow"	"Latah"	2021-08-17	1	32	0.119675380530312	"1st Dose"
"Moscow"	"Latah"	2021-08-18	1	21	0.0785369684730169	"1st Dose"
"Moscow"	"Latah"	2021-08-19	1	33	0.123415236171884	"1st Dose"
"Moscow"	"Latah"	2021-08-20	1	26	0.0972362466808781	"1st Dose"
"Moscow"	"Latah"	2021-08-21	1	24	0.0897565353977336	"1st Dose"
"Moscow"	"Latah"	2021-08-22	1	4	0.0149594225662889	"1st Dose"
"Moscow"	"Latah"	2021-08-23	1	38	0.142114514379745	"1st Dose"
"Moscow"	"Latah"	2021-08-24	1	21	0.0785369684730169	"1st Dose"
"Moscow"	"Latah"	2021-08-25	1	8	0.0299188451325779	"1st Dose"
"Moscow"	"Latah"	2021-08-26	1	26	0.0972362466808781	"1st Dose"
"Moscow"	"Latah"	2021-08-27	1	30	0.112195669247167	"1st Dose"
"Moscow"	"Latah"	2021-08-28	1	33	0.123415236171884	"1st Dose"
"Moscow"	"Latah"	2021-08-29	1	14	0.0523579789820113	"1st Dose"
"Moscow"	"Latah"	2021-08-30	1	28	0.104715957964023	"1st Dose"
"Moscow"	"Latah"	2021-08-31	1	11	0.0411384120572946	"1st Dose"
"Moscow"	"Latah"	2021-09-01	1	18	0.0673174015483002	"1st Dose"
"Moscow"	"Latah"	2021-09-02	1	17	0.063577545906728	"1st Dose"
"Moscow"	"Latah"	2021-09-03	1	21	0.0785369684730169	"1st Dose"
"Moscow"	"Latah"	2021-09-04	1	15	0.0560978346235835	"1st Dose"
"Moscow"	"Latah"	2021-09-05	1	8	0.0299188451325779	"1st Dose"
"Moscow"	"Latah"	2021-09-06	1	3	0.0112195669247167	"1st Dose"
"Moscow"	"Latah"	2021-09-07	1	12	0.0448782676988668	"1st Dose"
"Moscow"	"Latah"	2021-09-08	1	14	0.0523579789820113	"1st Dose"
"Moscow"	"Latah"	2021-09-09	1	20	0.0747971128314447	"1st Dose"
"Moscow"	"Latah"	2021-09-10	1	29	0.108455813605595	"1st Dose"
"Moscow"	"Latah"	2021-09-11	1	22	0.0822768241145892	"1st Dose"
"Moscow"	"Latah"	2021-09-12	1	3	0.0112195669247167	"1st Dose"
"Moscow"	"Latah"	2021-09-13	1	23	0.0860166797561614	"1st Dose"
"Moscow"	"Latah"	2021-09-14	1	21	0.0785369684730169	"1st Dose"
"Moscow"	"Latah"	2021-09-15	1	13	0.0486181233404391	"1st Dose"
"Moscow"	"Latah"	2021-09-16	1	14	0.0523579789820113	"1st Dose"
"Moscow"	"Latah"	2021-09-17	1	31	0.115935524888739	"1st Dose"
"Moscow"	"Latah"	2021-09-18	1	22	0.0822768241145892	"1st Dose"
"Moscow"	"Latah"	2021-09-19	1	4	0.0149594225662889	"1st Dose"
"Moscow"	"Latah"	2021-09-20	1	13	0.0486181233404391	"1st Dose"
"Moscow"	"Latah"	2021-09-21	1	15	0.0560978346235835	"1st Dose"
"Moscow"	"Latah"	2021-09-22	1	11	0.0411384120572946	"1st Dose"
"Moscow"	"Latah"	2021-09-23	1	18	0.0673174015483002	"1st Dose"
"Moscow"	"Latah"	2021-09-24	1	35	0.130894947455028	"1st Dose"
"Moscow"	"Latah"	2021-09-25	1	4	0.0149594225662889	"1st Dose"
"Moscow"	"Latah"	2021-09-26	1	10	0.0373985564157224	"1st Dose"
"Moscow"	"Latah"	2021-09-27	1	14	0.0523579789820113	"1st Dose"
"Moscow"	"Latah"	2021-09-28	1	29	0.108455813605595	"1st Dose"
"Moscow"	"Latah"	2021-09-29	1	31	0.115935524888739	"1st Dose"
"Moscow"	"Latah"	2021-09-30	1	21	0.0785369684730169	"1st Dose"
"Moscow"	"Latah"	2021-10-01	1	31	0.115935524888739	"1st Dose"
"Moscow"	"Latah"	2021-10-02	1	9	0.0336587007741501	"1st Dose"
"Moscow"	"Latah"	2021-10-03	1	6	0.0224391338494334	"1st Dose"
"Moscow"	"Latah"	2021-10-04	1	18	0.0673174015483002	"1st Dose"
"Moscow"	"Latah"	2021-10-05	1	13	0.0486181233404391	"1st Dose"
"Moscow"	"Latah"	2021-10-06	1	20	0.0747971128314447	"1st Dose"
"Moscow"	"Latah"	2021-10-07	1	10	0.0373985564157224	"1st Dose"
"Moscow"	"Latah"	2021-10-08	1	23	0.0860166797561614	"1st Dose"
"Moscow"	"Latah"	2021-10-09	1	11	0.0411384120572946	"1st Dose"
"Moscow"	"Latah"	2021-10-10	1	6	0.0224391338494334	"1st Dose"
"Moscow"	"Latah"	2021-10-11	1	7	0.0261789894910056	"1st Dose"
"Moscow"	"Latah"	2021-10-12	1	20	0.0747971128314447	"1st Dose"
"Moscow"	"Latah"	2021-10-13	1	18	0.0673174015483002	"1st Dose"
"Moscow"	"Latah"	2021-10-14	1	22	0.0822768241145892	"1st Dose"
"Moscow"	"Latah"	2021-10-15	1	9	0.0336587007741501	"1st Dose"
"Moscow"	"Latah"	2021-10-16	1	5	0.0186992782078612	"1st Dose"
"Moscow"	"Latah"	2021-10-17	1	3	0.0112195669247167	"1st Dose"
"Moscow"	"Latah"	2021-10-18	1	11	0.0411384120572946	"1st Dose"
"Moscow"	"Latah"	2021-10-19	1	9	0.0336587007741501	"1st Dose"
"Moscow"	"Latah"	2021-10-20	1	10	0.0373985564157224	"1st Dose"
"Moscow"	"Latah"	2021-10-21	1	15	0.0560978346235835	"1st Dose"
"Moscow"	"Latah"	2021-10-22	1	15	0.0560978346235835	"1st Dose"
"Moscow"	"Latah"	2021-10-23	1	18	0.0673174015483002	"1st Dose"
"Moscow"	"Latah"	2021-10-24	1	5	0.0186992782078612	"1st Dose"
"Moscow"	"Latah"	2021-10-25	1	23	0.0860166797561614	"1st Dose"
"Moscow"	"Latah"	2021-10-26	1	15	0.0560978346235835	"1st Dose"
"Moscow"	"Latah"	2021-10-27	1	11	0.0411384120572946	"1st Dose"
"Moscow"	"Latah"	2021-10-28	1	11	0.0411384120572946	"1st Dose"
"Moscow"	"Latah"	2021-10-29	1	10	0.0373985564157224	"1st Dose"
"Moscow"	"Latah"	2021-10-30	1	8	0.0299188451325779	"1st Dose"
"Moscow"	"Latah"	2021-10-31	1	3	0.0112195669247167	"1st Dose"
"Moscow"	"Latah"	2021-11-01	1	11	0.0411384120572946	"1st Dose"
"Moscow"	"Latah"	2021-11-02	1	13	0.0486181233404391	"1st Dose"
"Moscow"	"Latah"	2021-11-03	1	13	0.0486181233404391	"1st Dose"
"Moscow"	"Latah"	2021-11-04	1	20	0.0747971128314447	"1st Dose"
"Moscow"	"Latah"	2021-11-05	1	23	0.0860166797561614	"1st Dose"
"Moscow"	"Latah"	2021-11-06	1	174	0.650734881633569	"1st Dose"
"Moscow"	"Latah"	2021-11-07	1	11	0.0411384120572946	"1st Dose"
"Moscow"	"Latah"	2021-11-08	1	21	0.0785369684730169	"1st Dose"
"Moscow"	"Latah"	2021-11-09	1	15	0.0560978346235835	"1st Dose"
"Moscow"	"Latah"	2021-11-10	1	15	0.0560978346235835	"1st Dose"
"Moscow"	"Latah"	2021-11-11	1	19	0.0710572571898725	"1st Dose"
"Moscow"	"Latah"	2021-11-12	1	30	0.112195669247167	"1st Dose"
"Moscow"	"Latah"	2021-11-13	1	18	0.0673174015483002	"1st Dose"
"Moscow"	"Latah"	2021-11-14	1	8	0.0299188451325779	"1st Dose"
"Moscow"	"Latah"	2021-11-15	1	17	0.063577545906728	"1st Dose"
"Moscow"	"Latah"	2021-11-16	1	23	0.0860166797561614	"1st Dose"
"Moscow"	"Latah"	2021-11-17	1	13	0.0486181233404391	"1st Dose"
"Moscow"	"Latah"	2021-11-18	1	17	0.063577545906728	"1st Dose"
"Moscow"	"Latah"	2021-11-19	1	36	0.1346348030966	"1st Dose"
"Moscow"	"Latah"	2021-11-20	1	16	0.0598376902651558	"1st Dose"
"Moscow"	"Latah"	2021-11-21	1	1	0.00373985564157224	"1st Dose"
"Moscow"	"Latah"	2021-11-22	1	29	0.108455813605595	"1st Dose"
"Moscow"	"Latah"	2021-11-23	1	21	0.0785369684730169	"1st Dose"
"Moscow"	"Latah"	2021-11-24	1	7	0.0261789894910056	"1st Dose"
"Moscow"	"Latah"	2021-11-26	1	7	0.0261789894910056	"1st Dose"
"Moscow"	"Latah"	2021-11-27	1	13	0.0486181233404391	"1st Dose"
"Moscow"	"Latah"	2021-11-28	1	7	0.0261789894910056	"1st Dose"
